year,precip,rwi
1895,15.65,1.025
1896,13.54,0.512
1897,17.65,1.019
1898,14.73,1.259
1899,9.94,0.417
1900,10.91,0.093
1901,10.29,0.497
1902,12.42,0.494
1903,12.03,0.28
1904,12.87,0.043
1905,25.3,0.755
1906,18.98,0.614
1907,17.8,1.095
1908,14.28,1.363
1909,12.74,0.74
1910,10.62,0.985
1911,20.81,0.787
1912,14.35,1.566
1913,15.63,0.938
1914,21.21,1.455
1915,17.93,1.958
1916,18.59,1.658
1917,9.17,1.507
1918,15.72,0.268
1919,19.41,1.581
1920,14.71,1.884
1921,13.9,0.683
1922,9.1,0.894
1923,19.17,0.382
1924,9.79,0.984
1925,12.87,0.264
1926,18.5,1.175
1927,16.32,0.985
1928,14.72,0.844
1929,17.55,0.687
1930,13.87,1.757
1931,21.1,1.193
1932,16.73,1.511
1933,16.84,1.205
1934,13.22,0.416
1935,18.64,1.604
1936,14.42,1.093
1937,15.93,1.525
1938,13.15,0.421
1939,13.59,1.048
1940,18.66,1.13
1941,24.06,1.591
1942,10.85,1.172
1943,13.2,0.772
1944,13.41,0.888
1945,9.2,0.448
1946,13.25,0.426
1947,11.66,0.556
1948,13.47,1.447
1949,14.05,0.971
1950,7.81,0.404
1951,10.46,-0.033
1952,13.5,0.667
1953,9.77,0.319
1954,11.7,0.256
1955,11.14,0.176
1956,6.72,0.621
1957,17.66,0.343
1958,15.56,0.891
1959,13.71,0.098
1960,11.45,0.934
1961,13.72,0.616
1962,13.43,0.924
1963,12.65,0.924
1964,12.9,1.255
1965,17.82,1.794
1966,12.66,1.332
1967,16.13,0.538
1968,12.66,1.42
1969,14.71,1.286
1970,10.98,1.396
1971,14.15,0.176
1972,17.99,0.43
1973,11.41,1.192
1974,14.18,0.253
1975,16.09,1.287
1976,12.2,0.751
1977,14.29,0.394
1978,17.51,0.849
1979,15.54,1.109
1980,12.75,1.175
1981,14.72,0.754
1982,17.33,1.351
1983,18.54,1.649
1984,18.29,1.737
1985,18.03,1.805
1986,20,1.998
1987,15.67,1.913
1988,16.42,1.381
1989,10.72,0.406
1990,18.02,0.77
1991,17.03,1.432
1992,18.45,1.519
1993,15.89,1.1
1994,16.62,0.87
1995,11.2,0.84
1996,15.41,0.27
1997,18.69,1.586
1998,16.47,1.532
1999,14.78,1.157
2000,13.78,0.591
2001,13.91,0.913
2002,12.99,-0.033
2003,10.21,0.71
2004,15.4,0.419
